,Station Name,Distance from Start (km),Line,Opening Date,Station Layout,Latitude,Longitude,Latitude_Longitude,New Station Name
126,Dwarka [Conn: Gray],9.1,Blue,2005-12-30,Elevated,28.61564,77.02197,28.61564 77.02197,Dwarka
127,Sarai,28.8,Voilet,2015-06-09,Elevated,28.6517178,77.2219388,28.6517178 77.2219388,Ballimaran
128,Samaypur Badli(First Station),0.0,Yellow,2015-10-11,Elevated,28.7446158,77.1382654,28.7446158 77.1382654,Samaypur Badli
129,Ashram,30.3,Pink,2018-12-31,Underground,28.5724231,77.2585979,28.5724231 77.2585979,Ashram
130,Jasola Vihar Shaheen Bagh,28.4,Magenta,2017-12-25,Elevated,28.5458279,77.2966578,28.5458279 77.2966578,Jasola Vihar Shaheen Bagh
131,Botanical Garden [Conn: Magenta],44.7,Blue,2009-12-11,Elevated,28.56409,77.3342,28.56409 77.3342,Botanical Garden
132,Kalkaji Mandir [Conn: Magenta],18.2,Voilet,2010-03-10,Elevated,28.55007,77.25835,28.55007 77.25835,Lotus Temple Road
133,Mewala Maharajpur,31.3,Voilet,2015-06-09,Elevated,28.4418747,77.3023001,28.4418747 77.3023001,Sector 46
134,Netaji Subash Place [Conn: Red],5.1,Pink,2018-03-14,Underground,28.69605175,77.15264042,28.69605175 77.15264042,Upakarma
135,Krishna Nagar,44.7,Pink,2018-10-31,Elevated,28.6578461,77.2901853,28.6578461 77.2901853,Krishna Nagar
136,Janak Puri West [Conn: Blue],0.0,Magenta,2018-05-29,Underground,28.6289502,77.0779235,28.6289502 77.0779235,Janakpuri West
137,Huda City Centre,45.7,Yellow,2010-06-21,Elevated,28.45927,77.07268,28.45927 77.07268,Millennium City Centre Gurugram
138,Sir Vishweshwaraiah Moti Bagh,21.0,Pink,2018-06-08,Elevated,28.5785326,77.175741,28.5785326 77.175741,Sir M. Vishweshwaraiah Moti Bagh
139,Ramesh Nagar,20.6,Blue,2005-12-30,Elevated,28.65274,77.13164,28.65274 77.13164,Ramesh Nagar
140,Panchsheel Park,19.0,Magenta,2018-05-29,Underground,28.5433525,77.2140757,28.5433525 77.2140757,Panchsheel Park
141,Welcome [Conn: Pink],13.7,Red,2002-12-25,Elevated,28.6718,77.27756,28.6718 77.27756,Welcome (Red Line)
142,Model Town,7.6,Yellow,2009-04-02,Elevated,28.70278,77.19363,28.70278 77.19363,Mahatma Gandhi Marg
143,Rithala(last station),32.7,Red,2004-03-31,Elevated,28.72072,77.10713,28.72072 77.10713,Razapur
144,Tikri Kalan,18.9,Green,2018-06-24,Elevated,28.6868661,76.9772069,28.6868661 76.9772069,Tikri Kalan
145,Punjabi Bagh West,7.7,Pink,2018-03-14,Elevated,28.6703201,77.1420875,28.6703201 77.1420875,Gayway Bakers
146,Sector 54 Chowk,1.1,Rapid Metro,2017-03-31,Elevated,28.4936,77.0935,28.4936 77.0935,U-19
147,AIIMS,24.6,Yellow,2010-02-09,Underground,28.56892,77.20771,28.56892 77.20771,Mahatma Gandhi Marg
148,Barakhamba,30.8,Blue,2005-12-30,Underground,28.63003,77.22436,28.63003 77.22436,New Delhi House
149,Sector 28 Faridabad,32.5,Voilet,2015-06-09,Elevated,28.54525655,77.03257609,28.54525655 77.03257609,Sector 28
150,Sadar Bazaar Cantonment,7.2,Magenta,2018-05-29,Elevated,28.5771509,77.1111533,28.5771509 77.1111533,Sadar Bazaar Cantonment
151,Chandni Chowk,14.3,Yellow,2005-03-07,Underground,28.65785,77.23014,28.65785 77.23014,Chandni Chowk
152,Mayur Vihar Pocket I,36.6,Pink,2018-10-31,Elevated,28.6058619,77.2987023,28.6058619 77.2987023,Mayur Vihar Pocket 1
153,Dabri Mor - Janakpuri South,2.0,Magenta,2018-05-29,Underground,28.6157555,77.085178,28.6157555 77.085178,Dabri Mor - Janakpuri South
154,Nangloi,10.3,Green,2010-02-04,Elevated,28.68231,77.06471,28.68231 77.06471,Rohtak Road
155,Rohini East,30.4,Red,2004-03-31,Elevated,28.7076,77.12591,28.7076 77.12591,Razapur
156,Najafgarh,3.9,Gray,2019-04-10,Underground,28.612304,76.9823908,28.612304 76.9823908,Najafgarh
157,Ghevra Metro station,17.1,Green,2018-06-24,Elevated,28.6852384,76.9961591,28.6852384 76.9961591,Ghevra
158,Jasola,20.9,Voilet,2010-03-10,Elevated,28.53824,77.28319,28.53824 77.28319,Jasola Apollo
159,Shaheed Sthal(First Station),0.0,Red,2019-08-03,Elevated,28.6706109,77.4155822,28.6706109 77.4155822,Shaheed Sthal
160,Johri Enclave,51.7,Pink,2018-10-31,Elevated,28.71288,77.2861253,28.71288 77.2861253,Johripur Road
161,Akshardham,36.5,Blue,2009-12-11,Elevated,28.61806,77.27869,28.61806 77.27869,Dadri Road
162,Noida Sector 145,14.1,Aqua,2019-01-25,Elevated,28.4089049,76.9155232,28.4089049 76.9155232,Mewka
